Min of VSL_IMO_NUMBER,VSL_NAME,Average of BL Cons,Count of Type,Average of Tsw,BASE LINE BL Port FOC (MT/DAY),Vessel Type,Primary Manager,PotentialBL
9301433,CMA CGM Malta,0.050974827195626154,18,22.61111111111111,1,Container,DE SMC,-734.0375116170165
9550307,CMA CGM Nacala,0,37,26.83783783783784,1,Container,DE SMC,0
9275050,CMA CGM Puerto Antioquia,0,23,28.47826086956522,1,Container,DE SMC,0
9248124,CMA CGM Puget,0.5218666666666666,6,24.666666666666668,1.5,Container,DE SMC,-2504.96
9377133,CMA CGM Semarang,0.019185185185185184,25,17.04,1,Container,DE SMC,-383.70370370370364
9706279,CNC Bangkok,0.06337326182193231,43,28.46511627906977,1,Container,DE SMC,-2180.0402066744714
9254941,Coral Shasta,0.019623089983022073,25,12.08,0.84,Oil/Chem Tanker,GR SMC,-392.46179966044144
9883780,Corn Rizhao,0,65,23.6,0.9,Bulk Carrier,CN SMC,0
9899480,CS Hu Bei,0.0891891891891892,37,24.945945945945947,0.6,Oil/Chem Tanker,IN SMC,-2640
9899478,CS Zhe Jiang,0.09090909090909091,33,27.818181818181817,0.6,Oil/Chem Tanker,IN SMC,-2400
9958535,CUL Klang,0,37,26.783783783783782,1,Container,CN SMC,0
9958523,CUL Qingdao,0.013716108452950558,66,27.636363636363637,1,Container,CN SMC,-724.2105263157895
9723241,Czech,0.04131378213332358,41,21.195121951219512,2.5,Container,CN SMC,-1355.0920539730134
9409493,Diamond Express,0.38570441870102257,32,27.34375,1.3,Oli/Chem,SG SMC,-9874.033118746178
9624005,Donata Schulte,0.08103320385608546,24,11.708333333333334,0.816,Gas Carrier,IN SMC,-1555.8375140368407
9618862,Dorothea Schulte,0.12940563752012263,34,14.941176470588236,0.816,Gas Tanker,IN SMC,-3519.833340547336
9337975,Duhail,0.028855778068685067,70,27.8,,LNG Carrier,PRONAV,-1615.9235718463638
9545285,Duke I,0,75,25.866666666666667,0.8,Bulk Carrier,CYP SMC,0
9439852,Edzard Schulte,0.07123671459629798,27,15.074074074074074,0.85,Chemical/Oil Tanker ,CYP SMC,-1538.713035280036
9393955,EKO 2,0,26,19,,Oil/Chem Tanker,GR SMC,0
9439840,Elisabeth Schulte,0,32,11.75,0.85,Chemical/Oil Tanker ,CYP SMC,0
9439876,Elisalex Schulte,1.822303417207705,22,12.318181818181818,0.85,Chemical/Oil Tanker ,CYP SMC,-32072.540142855603
9307994,ELLIE M II,0.015513897866839044,17,28,0.9,Oil/Chem,IN SMC,-210.989010989011
9394519,Emmy Schulte,1.040293375514765,27,11.814814814814815,0.85,Chemical/Oil Tanker ,CYP SMC,-22470.336911118924
9498119,Endo Gregale,0.5707983929939526,71,27.309859154929576,0.9,Oil/Chem Tanker,GR SMC,-32421.348722056508
9426506,Endo Ponente,0.013160771309260624,48,19.6875,,Oil Tanker,GR SMC,-505.373618275608
9407031,Eonia,0,28,30.214285714285715,1.26,Tanker,SG SMC,0
9439864,Erika Schulte,0,42,13.666666666666666,0.85,Chemical/Oil Tanker ,CYP SMC,0
9439814,Erin Schulte,0.8954388660047579,23,7.913043478260869,0.85,Chemical/Oil Tanker ,CYP SMC,-16476.075134487546
9439826,Eva Schulte,1.095889716016928,25,10.64,0.85,Chemical/Oil Tanker ,CYP SMC,-21917.79432033856
9850800,EVER FAME,0.0020408163265306124,49,19.306122448979593,2.5,Container,HK SMC,-80
9850795,EVER FIT,0.007859531772575251,52,21,2.5,Container,HK SMC,-326.95652173913044
9811000,Ever Given,0,38,20.13157894736842,2.5,Container,HK SMC,0
9439838,Everhard Schulte,0.6858247142309711,30,29.1,0.85,Chemical/Oil Tanker ,CYP SMC,-16459.793141543305
9697155,Fabia Schulte,0.009079445145018917,61,19.40983606557377,0.84,Bulk Carrier,HK SMC,-443.0769230769232
9841938,Flora Schulte,0.006363636363636363,33,22.90909090909091,0.7,Bulk Carrier,HK SMC,-168
9747780,FMG Grace,0.003063186813186813,56,29.125,1.3,Bulk Carrier,HK SMC,-137.23076923076923
9747778,FMG Nicola,0.008909090909090908,55,26.545454545454547,1.3,Bulk Carrier,HK SMC,-392
9747792,FMG Sophia,0.001015873015873016,54,26.11111111111111,1.3,Bulk Carrier,HK SMC,-43.885714285714286
9747807,FMG Sydney,0,46,27.869565217391305,1.3,Bulk Carrier,HK SMC,0
9861160,Franz Schulte,0.013083333333333332,40,15.175,0.7,Bulk Carrier,GR SMC,-418.6666666666667
9709245,Franziska Schulte,0.011398996655518395,52,19.153846153846153,0.7,Bulk Carrier,HK SMC,-474.1982608695652
9861172,Freya Schulte,0.003157894736842105,32,26.53125,0.7,Bulk Carrier,GR SMC,-80.84210526315789
9721425,Friederike Schulte,0.32034639652440167,51,18.725490196078432,0.7,Bulk Carrier,HK SMC,-13070.132978195586
9841940,Friedrich Schulte,0.1492449275362319,24,21.791666666666668,0.7,Bulk Carrier,HK SMC,-2865.5026086956523
9328481,Gerhard Schulte,0.008083333333333333,48,12.3125,1,Container,CN SMC,-310.4
9877913,Gia Glory,0,47,18.872340425531913,0.72,Bulk Carrier,SG SMC,0
9439412,Golden Beijing,0.009627329192546583,42,25.38095238095238,0.9,Bulk Carrier,SG SMC,-323.47826086956525
9743174,Golden Calvus,0,46,22.5,,Bulk Carrier,SG SMC,0
9842724,Golden Champion,0.9577167956867817,62,25.193548387096776,0.876,Bulk Carrier,SG SMC,-47502.75306606437
9717395,Golden Cirrus,0,41,27.878048780487806,,Bulk Carrier,SG SMC,0
9851804,Golden Comfort,0.04822580645161291,62,19.967741935483872,0.876,Bulk Carrier,SG SMC,-2392
9856490,Golden Competence,0.32704417039964867,75,24.213333333333335,0.876,Bulk Carrier,SG SMC,-19622.65022397892
9856488,Golden Confidence,0.7944026534721,64,18.765625,0.876,Bulk Carrier,SG SMC,-40673.41585777152
9842712,Golden Coral,0.8218331691297209,29,24.724137931034484,0.876,Bulk Carrier,SG SMC,-19066.529523809524
9851816,Golden Courage,0.4548660299696694,82,23.51219512195122,0.876,Bulk Carrier,SG SMC,-29839.211566010308
9860116,Golden Fast,0.05413913043478261,46,21.434782608695652,0.8,Bulk Carrier,SG SMC,-1992.32
9854313,Golden Fellow,0.006382978723404256,47,30.148936170212767,0.8,Bulk Carrier,SG SMC,-240
9852523,Golden Fortune,0.20500363636363636,55,25.054545454545455,0.8,Bulk Carrier,SG SMC,-9020.16
9852535,Golden Forward,0,39,31.025641025641026,0.8,Bulk Carrier,SG SMC,0
9849904,Golden Freeze,0.36650257196268543,46,18.847826086956523,0.8,Bulk Carrier,SG SMC,-13487.294648226822
9854301,Golden Friend,0,54,25.27777777777778,0.8,Bulk Carrier,SG SMC,0
9849899,Golden Frost,0.4426752622716352,55,19.472727272727273,0.8,Bulk Carrier,SG SMC,-19477.711539951946
9860128,Golden Furious,0.788199016144604,42,16.452380952380953,0.8,Bulk Carrier,SG SMC,-26483.48694245869
9743198,Golden Incus,0.06952173913043477,80,24.0625,,Bulk Carrier,SG SMC,-4449.391304347826
9743150,Golden Nimbus,0.010389610389610388,63,22.206349206349206,,Bulk Carrier,SG SMC,-523.6363636363635
9328493,Gottfried Schulte,0,13,28.307692307692307,1,Container,CN SMC,0
